item,itemLabel,itemDescription,twitterName,twitterID,twitterFollowers,sitelinks
http://www.wikidata.org/entity/Q56339106,Murat Fırat,Turkish amateur wrestler,,,,5
http://www.wikidata.org/entity/Q56340380,Wicken Ajkazian,,,,,1
http://www.wikidata.org/entity/Q56340527,Ahmet Karataş,volleyball player,,,,2
http://www.wikidata.org/entity/Q56350833,Meendaces I Rexituni,,,,,1
http://www.wikidata.org/entity/Q56350943,Zora Rexituni,,,,,2
http://www.wikidata.org/entity/Q56351045,Vache II Arcruni,,,,,2
http://www.wikidata.org/entity/Q56366199,Cansu Firinci,Turkish actress,,,,0
http://www.wikidata.org/entity/Q56368762,Q56368762,,,,,1
http://www.wikidata.org/entity/Q56369017,Alp Eren Özkan,figure skater,,,,0
http://www.wikidata.org/entity/Q56372260,Engin Akçakoca,Turkish banker,,,,1
http://www.wikidata.org/entity/Q56395729,Güzide Irmak Bayır,Turkish figure skater,,,,3
http://www.wikidata.org/entity/Q56418686,İsa Değirmenci,Turkish chemist and researcher,,,,0
http://www.wikidata.org/entity/Q56426093,Azzi Memo,German rapper,,,,1
http://www.wikidata.org/entity/Q56433636,Sinan Sandal,Turkish judoka,,,,2
http://www.wikidata.org/entity/Q56434129,Inanc Ciftci,founder of Inanc Telecom Communication Service; Vice Chairman at University of Kigali,,,,1
http://www.wikidata.org/entity/Q56434679,Feyyaz Yazıcı,Turkish judoka,,,,2
http://www.wikidata.org/entity/Q59545102,Q59545102,,,,,2
http://www.wikidata.org/entity/Q59549648,Doğan Sel,Turkish association football player (1936-2015),,,,1
http://www.wikidata.org/entity/Q59567247,Yeliz Açar,Turkish-Azerbaijani footballer,,,,5
http://www.wikidata.org/entity/Q59602769,Kostas Parashos,,,,,1
http://www.wikidata.org/entity/Q59615379,Mete Basmacı,Turkish association football player,,,,1
